time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,5.173233795651123e-264
14.0,1.996796699527879e-218
15.0,7.706255895396436e-179
16.0,2.8372128458287613e-144
17.0,4.6018037603632904e-114
18.0,9.43262726057735e-88
19.0,4.940989056191177e-65
20.0,9.93615637365807e-46
21.0,8.414695724412431e-30
22.0,2.0639783223350722e-17
23.0,2.9341553124568783e-09
24.0,3.01001266671962e-06
25.0,9.964029208829214e-05
26.0,0.0017434028340730303
27.0,0.011266782424123963
28.0,0.026642932182469048
29.0,0.04766853860076981
30.0,0.07482914841070146
31.0,0.10965369646184152
32.0,0.1523269256752282
33.0,0.19845644973475504
34.0,0.2505687755596082
35.0,0.31185011191735623
36.0,0.3811714386834508
37.0,0.45361017008755494
38.0,0.5301299310958824
39.0,0.6168015101192431
40.0,0.7130757346390207
41.0,0.8118253564645186
42.0,0.9130158704242974
43.0,1.0248463432027983
44.0,1.1480338091301976
45.0,1.273698033109543
46.0,1.4001384909197419
47.0,1.5361355282788425
48.0,1.685898685684246
49.0,1.8391678160113478
50.0,1.9906674810292722
