time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,4.1179210612143383e-218
6.0,5.736764656622775e-151
7.0,9.236576321851396e-104
8.0,2.551897236195853e-68
9.0,1.7540764578655213e-41
10.0,7.488022015331919e-22
11.0,2.625314957077803e-09
12.0,4.755111413419789e-05
13.0,0.0046132077956490295
14.0,0.032008067301804125
15.0,0.08457423551642608
16.0,0.16092231381270244
17.0,0.2548131318638658
18.0,0.3716545794357065
19.0,0.519461239098961
20.0,0.6906378566610533
21.0,0.8743781873837256
22.0,1.0801214268190293
23.0,1.322295301992672
24.0,1.5890260969484324
25.0,1.8656175503666341
26.0,2.1590604462454195
27.0,2.493380834431127
28.0,2.8574114735642584
29.0,3.2267989572887927
30.0,3.6091894649286647
31.0,4.032899545069802
32.0,4.493988464542304
33.0,4.9593506263404
34.0,5.42955410911872
35.0,5.941712419636972
36.0,6.499071150550707
37.0,7.061551614159334
38.0,7.620982600159312
39.0,8.220296421618155
40.0,8.87269214786554
41.0,9.533566732371531
42.0,10.183368888211357
43.0,10.867954914713863
44.0,11.614008799143177
45.0,12.375275035531823
46.0,13.117940791113956
47.0,13.886947385536715
48.0,14.723407569447065
49.0,15.584863924656114
50.0,16.422696503933174
