time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,4.489838264926093e-235
5.0,6.947642426879769e-152
6.0,2.873667405343887e-100
7.0,2.5328376314753807e-63
8.0,2.408101548085389e-36
9.0,1.6996390424613906e-17
10.0,5.3415952635679e-07
11.0,0.000467272411700296
12.0,0.019213607069244576
13.0,0.06369536594651411
14.0,0.13194382138068697
15.0,0.23382209004181714
16.0,0.3664655171942191
17.0,0.5199411560912228
18.0,0.6947360258820084
19.0,0.9060471439815455
20.0,1.1538874851273357
21.0,1.4179720216834568
22.0,1.6996355061135033
23.0,2.0180829767415465
24.0,2.3804858974837244
25.0,2.758408839559671
26.0,3.1452172352730585
27.0,3.5709876980557027
28.0,4.046070078726058
29.0,4.539112259461373
30.0,5.033932449561661
31.0,5.563756147722183
32.0,6.150844543058251
33.0,6.760647610199446
34.0,7.364567025414932
35.0,7.997176729063781
36.0,8.694445844765943
37.0,9.422403237550327
38.0,10.138121477380793
39.0,10.872897912628455
40.0,11.676678819885197
41.0,12.522261411858453
42.0,13.352705206713603
43.0,14.190592709043091
44.0,15.099356079120714
45.0,16.062124696628434
46.0,17.0095366547268
47.0,17.95122566377769
48.0,18.96170890919723
49.0,20.039755879755873
50.0,21.106596491936305
