time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,1.5803455671736184e-262
13.0,3.05131940954129e-215
14.0,1.3005390151662575e-174
15.0,1.9104501274990628e-139
16.0,5.900249321198797e-109
17.0,1.293997516483607e-82
18.0,4.462645732786176e-60
19.0,3.757687642328268e-41
20.0,8.16626093605711e-26
21.0,2.591652640581967e-14
22.0,6.895360927608422e-08
23.0,1.4398497818363809e-05
24.0,0.0004307154748278823
25.0,0.005748010992528215
26.0,0.01809436462728784
27.0,0.038394350056332766
28.0,0.06681777517805224
29.0,0.10198971140237444
30.0,0.1423472216533194
31.0,0.1914393465129125
32.0,0.250101476524046
33.0,0.314781655991134
34.0,0.38345539623735353
35.0,0.46091021697968354
36.0,0.5498831575619892
37.0,0.644676700523881
38.0,0.7415671125415298
39.0,0.8470080043655001
40.0,0.9659709353423943
41.0,1.0913951312169885
42.0,1.2171271758103295
43.0,1.3502971171668101
44.0,1.4980706331552163
45.0,1.6546659557002081
46.0,1.8099786343533724
47.0,1.970266294695329
48.0,2.1468667183332566
49.0,2.3343511367509318
50.0,2.5197396728852417
