time,flux
1.0,1.782986717039013e-40
2.0,1.382330569553966e-06
3.0,0.029453244925777267
4.0,0.1526470517821774
5.0,0.3810212949479217
6.0,0.7335737830004941
7.0,1.1904481607138069
8.0,1.724366044742245
9.0,2.3673770400078236
10.0,3.1560605667816484
11.0,4.050180044746989
12.0,4.999164802550613
13.0,6.050280362828725
14.0,7.270294076763125
15.0,8.608141866470508
16.0,9.979145758407713
17.0,11.434147536333638
18.0,13.07711094748111
19.0,14.861208584539629
20.0,16.662628394678688
21.0,18.52030286768242
22.0,20.57774287075194
23.0,22.807973283700832
24.0,25.04863162450346
25.0,27.310675907785054
26.0,29.773768601991094
27.0,32.44687868051461
28.0,35.13528834091149
29.0,37.80647835701926
30.0,40.66732544171094
31.0,43.77718330588089
32.0,46.9204797198513
33.0,50.008189470519184
34.0,53.26058761039092
35.0,56.798649234899806
36.0,60.40189978301923
37.0,63.91571774524946
38.0,67.55588535482983
39.0,71.5117070198935
40.0,75.57722480970735
41.0,79.52812994958973
42.0,83.55522543433861
43.0,87.91737706678349
44.0,92.44439589626333
45.0,96.84412086004205
46.0,101.26068042663735
47.0,106.0174574165675
48.0,111.0016874861976
49.0,115.86160042801178
50.0,120.6734551238579
