time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,2.4295948314802936e-271
8.0,2.429349804912307e-206
9.0,2.5917422954648886e-156
10.0,3.6304452458759717e-116
11.0,1.7754365206742e-83
12.0,6.554351693871408e-57
13.0,9.869509644033534e-36
14.0,1.1134137592191164e-19
15.0,3.3038459966263e-09
16.0,1.5737800014335515e-05
17.0,0.0010270347945916358
18.0,0.015303907212793436
19.0,0.042816374232393574
20.0,0.0829577145545984
21.0,0.13782671298535348
22.0,0.21157280470074333
23.0,0.29749565633471425
24.0,0.3926605027392197
25.0,0.5044252964177446
26.0,0.6370843747418831
27.0,0.7819086492127877
28.0,0.9326215891563028
29.0,1.099642118372391
30.0,1.2912081369374282
31.0,1.4955469456814687
32.0,1.7035956189156307
33.0,1.9247741410822332
34.0,2.1739673558042596
35.0,2.4388859846336364
36.0,2.7045927942440877
37.0,2.979822856899445
38.0,3.285381242106219
39.0,3.6115616913397712
40.0,3.9353341782438815
41.0,4.265209098203195
42.0,4.626117079826422
43.0,5.012343070609596
44.0,5.396495381462117
45.0,5.780958795795762
46.0,6.195789742753917
47.0,6.641948356750973
48.0,7.087357289171511
49.0,7.527025106469921
50.0,7.994904585683821
