time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,2.40165291023754e-281
7.0,1.932919379445686e-207
8.0,1.0442998760102126e-153
9.0,8.141141289935335e-112
10.0,2.0915121355468773e-78
11.0,9.116238378936034e-52
12.0,5.209964542386199e-31
13.0,7.133564055547087e-16
14.0,2.573665533533863e-07
15.0,0.0001221971231128283
16.0,0.00509857236708956
17.0,0.027160559446543317
18.0,0.06714024080845998
19.0,0.1254101088137228
20.0,0.1952296173143699
21.0,0.28198398828202065
22.0,0.39041386024700386
23.0,0.5171171009559735
24.0,0.6533955999499702
25.0,0.803419924646098
26.0,0.9790771831799717
27.0,1.1758292035683773
28.0,1.3789136405784168
29.0,1.5933659273115326
30.0,1.8340621246948432
31.0,2.1008441910664577
32.0,2.3724202561512366
33.0,2.650672437379001
34.0,2.9558371436009048
35.0,3.291771708954291
36.0,3.6338363088978824
37.0,3.975629982111132
38.0,4.344451516317355
39.0,4.749289840332202
40.0,5.161733554450825
41.0,5.569126979180851
42.0,6.000262316054749
43.0,6.472476033752315
44.0,6.9567051241539115
45.0,7.430938442070678
46.0,7.923419953659272
47.0,8.461466893597722
48.0,9.01812880065353
49.0,9.56103951644835
50.0,10.11488254597982
