time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,8.490808315811074e-282
30.0,3.3088902904752714e-249
31.0,6.586434013729671e-219
32.0,9.105714190843238e-191
33.0,1.1222428293751759e-164
34.0,1.5044277325324325e-140
35.0,2.5547712994023895e-118
36.0,6.117813074152984e-98
37.0,2.194288610930677e-79
38.0,1.1874581497736128e-62
39.0,9.140636698473225e-48
40.0,8.592584202667165e-35
41.0,7.254351785839508e-24
42.0,2.927950431641911e-15
43.0,9.92234416916714e-10
44.0,2.032292413792226e-07
45.0,1.197054995228738e-06
46.0,1.4288026683202004e-05
47.0,0.00015510406658966234
48.0,0.0011617715238555252
49.0,0.0042149592804423385
50.0,0.008119293599446914
