time,flux
1.0,1.771018426103759e-40
2.0,1.4748537189905736e-06
3.0,0.028630261756246275
4.0,0.14811428205341848
5.0,0.391593787494321
6.0,0.7155813660617699
7.0,1.145282523184629
8.0,1.7161871719434907
9.0,2.3290065963512747
10.0,3.089473859072793
11.0,3.9702289913041344
12.0,4.872925510607383
13.0,5.978647535584707
14.0,7.144718022032716
15.0,8.357344922168265
16.0,9.806940716567594
17.0,11.239035623584765
18.0,12.791927631760789
19.0,14.56386377093581
20.0,16.260247849755
21.0,18.180729387542893
22.0,20.239064740876724
23.0,22.220809578279948
24.0,24.518026370969565
25.0,26.826165979296373
26.0,29.13289363909318
27.0,31.789267489424322
28.0,34.327096909108576
29.0,37.00393862435436
30.0,39.97736820671551
31.0,42.754810889058426
32.0,45.835100554147644
33.0,49.0714878523218
34.0,52.129752721064335
35.0,55.617623376755404
36.0,59.06951888541013
37.0,62.46949349280874
38.0,66.33202697358628
39.0,69.97837416117002
40.0,73.78008020158622
41.0,77.95423879492921
42.0,81.81481949608661
43.0,86.05627933514745
44.0,90.46916257025798
45.0,94.60399691356777
46.0,99.28339784140677
47.0,103.87726044638487
48.0,108.36904285469933
49.0,113.43836998280909
50.0,118.19256304544943
