time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,1.605480168531222e-272
28.0,1.9187507300920294e-239
29.0,7.790237911828243e-209
30.0,1.5383355228303153e-180
31.0,1.9704477632335223e-154
32.0,2.052954492832807e-130
33.0,2.062270130277645e-108
34.0,2.2415763498901682e-88
35.0,2.793062518204535e-70
36.0,3.9531558399772576e-54
37.0,5.76842165911108e-40
38.0,6.89054814018846e-28
39.0,4.16470516858523e-18
40.0,4.0111040209545946e-11
41.0,2.5517770283924977e-08
42.0,5.573052662109023e-07
43.0,9.937106903194957e-06
44.0,0.0001261600808034524
45.0,0.0011053574623477974
46.0,0.004494995604830917
47.0,0.008883115339371377
48.0,0.015059042403780223
49.0,0.023050239986029133
50.0,0.033085172120015355
