time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,9.352919038625053e-284
38.0,2.787615955127332e-254
39.0,1.479263833039018e-226
40.0,1.6432536107399073e-200
41.0,4.3693484079604965e-176
42.0,3.098045647069007e-153
43.0,6.363428155319082e-132
44.0,4.0100980266987732e-112
45.0,7.992099820785486e-94
46.0,5.03641118134885e-77
47.0,9.66883944974368e-62
48.0,5.189665634454787e-48
49.0,6.661057450952711e-36
50.0,1.557546419060529e-25
