time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,1.7587713800866092e-286
31.0,4.1359864103632555e-254
32.0,5.96256962726702e-224
33.0,7.011105115479767e-196
34.0,8.490768167333963e-170
35.0,1.2769334929088898e-145
36.0,2.755706954482063e-123
37.0,9.462725634794375e-103
38.0,5.494059086939876e-84
39.0,5.4649709320992515e-67
40.0,8.902604763872397e-52
41.0,2.0961258116882655e-38
42.0,5.550840982055662e-27
43.0,1.010389042422727e-17
44.0,3.9731929553851966e-11
45.0,1.836474489805327e-08
46.0,3.2079115412248256e-07
47.0,5.503855925004443e-06
48.0,5.003548404304159e-05
49.0,0.0005331732840482525
50.0,0.0025113584906557027
