time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,1.8569829088675152e-305
35.0,7.760012323491265e-274
36.0,3.6879316084914284e-244
37.0,2.478687025558545e-216
38.0,2.825102592337909e-190
39.0,6.336931230498583e-166
40.0,3.149342053669346e-143
41.0,3.7909776778632125e-122
42.0,1.1727133347319486e-102
43.0,9.578142904597515e-85
44.0,2.0446716518788984e-68
45.0,1.0780357907687547e-53
46.0,1.2443302619869665e-40
47.0,2.5240781889969428e-29
48.0,6.02748718116274e-20
49.0,7.336584352506808e-13
50.0,1.8005705918381668e-09
