time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,3.8324245067268404e-277
29.0,2.5644100609607917e-244
30.0,7.203052151429397e-214
31.0,1.1832447142984601e-185
32.0,1.4857609372199402e-159
33.0,1.7627763610913744e-135
34.0,2.321044776229677e-113
35.0,3.7906771923459824e-93
36.0,8.148466882661316e-75
37.0,2.305435674820676e-58
38.0,7.957572593372603e-44
39.0,2.779398342070273e-31
40.0,6.708837587363589e-21
41.0,4.862528050539328e-13
42.0,4.659434115853084e-09
43.0,2.864918687953632e-07
44.0,3.566822584530305e-06
45.0,3.873988313395879e-05
46.0,0.0004771986264162954
47.0,0.002516375149426888
48.0,0.006029278072995613
49.0,0.011289385753674924
50.0,0.01809017621835938
