time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,1.0535293033694855e-293
40.0,2.063902520932983e-264
41.0,8.850325358506279e-237
42.0,9.606152855659435e-211
43.0,2.9794430594537725e-186
44.0,2.914995042965033e-163
45.0,9.717283642116327e-142
46.0,1.166425726652673e-121
47.0,5.207052693676622e-103
48.0,8.703383881908711e-86
49.0,5.321261986684919e-70
50.0,1.1191807608474456e-55
