time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,6.062456585089163e-292
23.0,1.9397964903273584e-254
24.0,3.8763300195135566e-220
25.0,9.268215796004708e-189
26.0,4.411394179524368e-160
27.0,6.21245701770153e-134
28.0,3.498323592547949e-110
29.0,9.77212367575335e-89
30.0,1.54465230499404e-69
31.0,1.4375528876602166e-52
32.0,7.295775785909887e-38
33.0,1.5668174343149764e-25
34.0,7.801122788498157e-16
35.0,1.6036207355240764e-09
36.0,5.123575414080914e-07
37.0,3.9085403091929375e-06
38.0,7.722891789688427e-05
39.0,0.0009598093196097631
40.0,0.005042104374488937
41.0,0.010688536654754922
42.0,0.019048111396989517
43.0,0.03016050892334967
44.0,0.044029876877570324
45.0,0.05969129360386479
46.0,0.0773983574319167
47.0,0.09826613700452225
48.0,0.12234269046190248
49.0,0.14807891896372344
50.0,0.1751185478770049
