time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,1.0004074886870533e-288
39.0,2.404308346471352e-259
40.0,1.1438430569639562e-231
41.0,1.2556412596533488e-205
42.0,3.612642619446385e-181
43.0,3.020598552371038e-158
44.0,7.950076166931087e-137
45.0,6.968452870170539e-117
46.0,2.0991804600658805e-98
47.0,2.18106866230716e-81
48.0,7.58740483631146e-66
49.0,8.218486306422899e-52
50.0,2.426572802418883e-39
