time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,6.321907069639824e-296
33.0,5.942887459027985e-264
34.0,4.759761292821714e-234
35.0,4.163699668586338e-206
36.0,4.883326131187258e-180
37.0,9.068602896311236e-156
38.0,3.038520544603272e-133
39.0,2.0218232720399737e-112
40.0,2.8382039571101507e-93
41.0,8.58946055848863e-76
42.0,5.469278894480783e-60
43.0,6.734847906891756e-46
44.0,1.3506837279873747e-33
45.0,3.203629225393421e-23
46.0,4.760803770041947e-15
47.0,7.745929955995531e-10
48.0,1.3453923931663283e-07
49.0,7.718282888006464e-07
50.0,7.66539967010216e-06
