time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,4.615665671309448e-304
26.0,6.189943661603745e-268
27.0,1.380652366437255e-234
28.0,8.321497137601792e-204
29.0,2.0008819877444617e-175
30.0,2.617991418615281e-149
31.0,2.374724166407942e-125
32.0,1.787871459467566e-103
33.0,1.2590196649319847e-83
34.0,8.764018336213623e-66
35.0,5.907235979176564e-50
36.0,3.4088339915758705e-36
37.0,1.264048568645602e-24
38.0,1.6193828499341066e-15
39.0,1.2657763518070493e-09
40.0,3.166913107490668e-07
41.0,1.9878362407978174e-06
42.0,2.8932350744297857e-05
43.0,0.0004177294686547384
44.0,0.0024921434126006187
45.0,0.0065530238776050995
46.0,0.012601637854051483
47.0,0.020457320394373528
48.0,0.02974626561997355
49.0,0.04081416419430184
50.0,0.054419742543800886
