time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,2.2599662788008223e-277
19.0,2.63264779768276e-237
20.0,2.8370780926642982e-201
21.0,7.967632642372433e-169
22.0,1.2655167314708093e-139
23.0,2.027791007242938e-113
24.0,4.991322780213802e-90
25.0,2.499311384485505e-69
26.0,2.9330042577536254e-51
27.0,7.883131603199636e-36
28.0,3.7135164662210796e-23
29.0,1.41377318720246e-13
30.0,2.1733167742555937e-08
31.0,2.482663915436411e-06
32.0,4.226813507572312e-05
33.0,0.0007699068882589778
34.0,0.005497801117513752
35.0,0.013005993993505379
36.0,0.024624415719150975
37.0,0.040439433959503474
38.0,0.05996988416555904
39.0,0.08224239972200659
40.0,0.10799059501711843
41.0,0.13858166139257638
42.0,0.17367135920442692
43.0,0.21050096950018288
44.0,0.24996345720542965
45.0,0.29546719045521413
46.0,0.34587603099541
47.0,0.39755047273308103
48.0,0.4512259282553628
49.0,0.5111149397961324
50.0,0.5768446600574366
