time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,1.1086841701901125e-300
34.0,6.865367882464834e-269
35.0,4.203908260469663e-239
36.0,3.2115646634710684e-211
37.0,3.711668107727886e-185
38.0,7.594603983197721e-161
39.0,3.115422782239702e-138
40.0,2.8102949134565913e-117
41.0,5.918880239352749e-98
42.0,2.9832259668502564e-80
43.0,3.539049213522954e-64
44.0,9.221364747123698e-50
45.0,4.57139289975621e-37
46.0,3.312126677316986e-26
47.0,2.13036211536827e-17
48.0,3.8236005126392386e-11
49.0,1.355165179444731e-08
50.0,2.0718546124738033e-07
