time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,6.155547020105385e-300
25.0,2.1751559234959964e-263
26.0,9.511245758188244e-230
27.0,8.766666757042237e-199
28.0,2.6035006353036124e-170
29.0,3.4849298173374164e-144
30.0,2.7261495796224238e-120
31.0,1.5083877093349803e-98
32.0,6.680143160554183e-79
33.0,2.4934985253108597e-61
34.0,7.574420649023723e-46
35.0,1.6016431153457154e-32
36.0,1.6431366919994567e-21
37.0,3.582803196424809e-13
38.0,7.63997568080661e-09
39.0,5.580898529056203e-07
40.0,6.41106729516335e-06
41.0,0.00010007707705207202
42.0,0.0010381838432256694
43.0,0.004773740685836126
44.0,0.009733745883049118
45.0,0.016897451049778096
46.0,0.02629459387095506
47.0,0.03807242262166655
48.0,0.05141291578109561
49.0,0.06622600054208311
50.0,0.0836785298599727
