time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,6.107696851441433e-263
10.0,6.311485786684146e-208
11.0,7.304810271524561e-163
12.0,3.006292613413273e-125
13.0,1.1897208024582185e-93
14.0,3.3999921456521306e-67
15.0,2.3425166872583178e-45
16.0,6.748069899591642e-28
17.0,6.28524093295311e-15
18.0,1.300748766166209e-07
19.0,3.949812218540614e-05
20.0,0.0012882478094359221
21.0,0.01377080597486838
22.0,0.03610149224594501
23.0,0.0679539171314359
24.0,0.11040279090457322
25.0,0.16708980770948278
26.0,0.2333091271695329
27.0,0.30702789876332226
28.0,0.39198151286468264
29.0,0.49266693941581635
30.0,0.6039649249403996
31.0,0.7196482802417075
32.0,0.8456966460702706
33.0,0.990313498770056
34.0,1.1469200098310937
35.0,1.3055450491865144
36.0,1.4729089081558424
37.0,1.65974430647212
38.0,1.8619768725336954
39.0,2.064714591208318
40.0,2.272747904255342
41.0,2.50150191246026
42.0,2.7492114803869105
43.0,2.996642414212187
44.0,3.2458248278989217
45.0,3.5158163226580186
46.0,3.8079289385964827
47.0,4.101669695558303
48.0,4.392294976550883
49.0,4.702203496589714
50.0,5.038968002471932
