time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,2.075855191618748e-268
16.0,1.7021001341190534e-225
17.0,1.342319245428497e-187
18.0,5.0178871237552664e-154
19.0,2.764992310621089e-124
20.0,5.05710632510252e-98
21.0,5.394476027274826e-75
22.0,4.758595862152848e-55
23.0,3.950490458628776e-38
24.0,2.6314581258863984e-24
25.0,6.93429313029639e-14
26.0,3.807086355033142e-08
27.0,5.7542390006236195e-06
28.0,0.0001393574159366857
29.0,0.0019345849019800625
30.0,0.010235124767748177
31.0,0.023199029606137678
32.0,0.04064566361751938
33.0,0.06277209644230931
34.0,0.0909516325054752
35.0,0.12525708423361365
36.0,0.16325389737677706
37.0,0.20489057003122824
38.0,0.2533523578185656
39.0,0.309081165229419
40.0,0.36780826083259077
41.0,0.42906851923727424
42.0,0.4976507289659358
43.0,0.5745462212843099
44.0,0.654293544776852
45.0,0.735258452300424
46.0,0.8235504829112663
47.0,0.9216007219048006
48.0,1.022751641355187
49.0,1.1237248860956823
50.0,1.2313058400571584
