time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,5.232136919248316e-266
15.0,7.364311023878487e-222
16.0,3.563461852474853e-183
17.0,3.8975733754252933e-149
18.0,3.5730548467039216e-119
19.0,6.8965066273376925e-93
20.0,5.251980360448262e-70
21.0,2.3000217622242443e-50
22.0,6.501629482959313e-34
23.0,9.270685052589752e-21
24.0,2.3724310307686534e-11
25.0,1.4405622299113569e-07
26.0,2.1516183553869822e-05
27.0,0.000546642001653507
28.0,0.005744270262455302
29.0,0.016108452136461258
30.0,0.03279273146694426
31.0,0.05594012317609157
32.0,0.0844685350284378
33.0,0.11741720548700191
34.0,0.1560041859314887
35.0,0.20323343372306912
36.0,0.25543253528954873
37.0,0.3101332818179108
38.0,0.3711367202429876
39.0,0.44159772471872266
40.0,0.5176530809618501
41.0,0.5951988702859509
42.0,0.6782214289486037
43.0,0.7718537134410624
44.0,0.8719920432584602
45.0,0.972377921987878
46.0,1.0770913459192821
47.0,1.1933582632271253
48.0,1.317602654092186
49.0,1.4418505460569793
50.0,1.5680671038681064
