wavelength_nm, Kd_m-1
313.91433786263406, 0.1961096538882865
319.78435362224064, 0.17916177164546898
326.61439021867534, 0.15674135318331395
332.85793858910915, 0.13864407473939266
339.4215127091801, 0.11881889417818225
345.9290884343736, 0.08565855522097543
352.3340693837272, 0.07396621071633902
358.74013156468095, 0.06780977200482496
365.14497148382577, 0.055395352831521194
371.87044828351225, 0.044382021771822266
377.9557325537156, 0.036102420278036895
384.36372214752197, 0.039814335371660015
390.4705182255627, 0.02017446850471316
391.8329640619787, 0.009605664662913682
398.7760692777547, 0.019343330474630882
404.65148179334847, 0.03002683888619373
410.9798940845234, 0.01684099790261495
417.46359675324203, 0.01766582315192533
423.8717132742362, 0.022027605447351384
430.27746048772383, 0.01425853330914606
436.6843218398604, 0.0121938510534223
443.09095754366297, 0.008973849327828631
449.4980304411125, 0.007992279075107689
455.90566745939714, 0.00989900749706063
462.3128813870554, 0.009639511913007048
468.7200247996094, 0.009018978994620674
475.1272387272678, 0.00875948341056798
481.5346406952044, 0.009462754051406286
487.9427948242543, 0.014017089591810361
494.3519126597304, 0.023505602034781248
500.49058744120157, 0.01520879485553106
507.6992936738162, 0.017940549998519906
513.0391839303386, 0.020516325730660867
519.982178672451, 0.02968836638525474
526.3915221562611, 0.04033219829809642
533.8678719932376, 0.04651609089023889
540.2758897930856, 0.050372420917596195
546.6845563318939, 0.05755029442082904
553.0932510767439, 0.06487258285779518
559.5016637611762, 0.07075072195742482
565.9103585060262, 0.07807301039439007
572.319194281085, 0.08611737350002446
578.7309916905268, 0.10932530464769563
585.145750734352, 0.14769680383740624
591.560509778177, 0.18606830302711508
597.9747047011672, 0.22155150354215092
604.387066231444, 0.24764773336449686
610.7977353992161, 0.26507906716282115
617.2085455971969, 0.2832324756298146
623.6193557951777, 0.3013858840968062
630.0297429025323, 0.317373068557794
636.4398479494696, 0.3319161036814453
642.8499529964067, 0.3464591388050948
649.2601990735527, 0.36172424859741437
655.6704451506986, 0.376989358389733
662.0806912278446, 0.39225446818205256
668.4909373049904, 0.4075195779743712
674.9017475029713, 0.42567298644136375
681.3158013957528, 0.46043411228773135
687.7301373489518, 0.49663938747143543
694.1448963927768, 0.5350108866611443
699.219304332886, 0.5452003192414763
