lambda_nm,distance_m,mod_scheme,SNR_dB,rate_Mbps,unit_flux,P_RX_W,photons_per_bit,detected_electrons_per_bit
532.0,47.0,OOK,-120.0,1.4428232973175175e-12,2.0063645424123667e-166,2.0063645424123668e-168,2.6848423799259968e-157,1.3424211899629984e-157
532.0,47.0,M-PAM,-120.0,2.885646594635035e-12,2.0063645424123667e-166,2.0063645424123668e-168,2.6848423799259968e-157,1.3424211899629984e-157
532.0,47.0,PPM,-120.0,7.214116486587587e-13,2.0063645424123667e-166,2.0063645424123668e-168,2.6848423799259968e-157,1.3424211899629984e-157
532.0,47.0,OFDM+QAM,-120.0,7.214116486587588e-12,2.0063645424123667e-166,2.0063645424123668e-168,2.6848423799259968e-157,1.3424211899629984e-157
532.0,33.0,OOK,67.34997200789033,22.373176685857782,0.0081192935994469,8.1192935994469e-05,10864936.600527598,5432468.300263799
532.0,33.0,M-PAM,67.34997200789033,44.746353371715564,0.0081192935994469,8.1192935994469e-05,10864936.600527598,5432468.300263799
532.0,33.0,PPM,67.34997200789033,11.186588342928891,0.0081192935994469,8.1192935994469e-05,10864936.600527598,5432468.300263799
532.0,33.0,OFDM+QAM,67.34997200789033,111.86588342928891,0.0081192935994469,8.1192935994469e-05,10864936.600527598,5432468.300263799
532.0,29.0,OOK,77.48092996213805,25.73860783169069,0.0836785298599727,0.000836785298599727,111975495.23469535,55987747.61734767
532.0,29.0,M-PAM,77.48092996213805,51.47721566338138,0.0836785298599727,0.000836785298599727,111975495.23469535,55987747.61734767
532.0,29.0,PPM,77.48092996213805,12.869303915845345,0.0836785298599727,0.000836785298599727,111975495.23469535,55987747.61734767
532.0,29.0,OFDM+QAM,77.48092996213805,128.69303915845344,0.0836785298599727,0.000836785298599727,111975495.23469535,55987747.61734767
532.0,14.0,OOK,95.27820555289043,31.650734786087895,5.038968002471932,0.050389680024719316,6742959496.214579,3371479748.1072893
532.0,14.0,M-PAM,95.27820555289043,63.30146957217579,5.038968002471932,0.050389680024719316,6742959496.214579,3371479748.1072893
532.0,14.0,PPM,95.27820555289043,15.825367393043948,5.038968002471932,0.050389680024719316,6742959496.214579,3371479748.1072893
532.0,14.0,OFDM+QAM,95.27820555289043,158.25367393043948,5.038968002471932,0.050389680024719316,6742959496.214579,3371479748.1072893
532.0,24.0,OOK,84.68483837163235,28.131694384677672,0.439546556917118,0.00439546556917118,588184848.2742399,294092424.13711995
532.0,24.0,M-PAM,84.68483837163235,56.263388769355345,0.439546556917118,0.00439546556917118,588184848.2742399,294092424.13711995
532.0,24.0,PPM,84.68483837163235,14.065847192338836,0.439546556917118,0.00439546556917118,588184848.2742399,294092424.13711995
532.0,24.0,OFDM+QAM,84.68483837163235,140.65847192338836,0.439546556917118,0.00439546556917118,588184848.2742399,294092424.13711995
532.0,49.0,OOK,-120.0,1.4428232973175175e-12,7.317249313156216e-222,7.317249313156216e-224,9.791670778245064e-213,4.895835389122532e-213
532.0,49.0,M-PAM,-120.0,2.885646594635035e-12,7.317249313156216e-222,7.317249313156216e-224,9.791670778245064e-213,4.895835389122532e-213
532.0,49.0,PPM,-120.0,7.214116486587587e-13,7.317249313156216e-222,7.317249313156216e-224,9.791670778245064e-213,4.895835389122532e-213
532.0,49.0,OFDM+QAM,-120.0,7.214116486587588e-12,7.317249313156216e-222,7.317249313156216e-224,9.791670778245064e-213,4.895835389122532e-213
532.0,6.0,OOK,103.7776768738336,34.474198042993486,35.66881921859476,0.35668819218594766,47730686749.905464,23865343374.952732
532.0,6.0,M-PAM,103.7776768738336,68.94839608598697,35.66881921859476,0.35668819218594766,47730686749.905464,23865343374.952732
532.0,6.0,PPM,103.7776768738336,17.237099021496743,35.66881921859476,0.35668819218594766,47730686749.905464,23865343374.952732
532.0,6.0,OFDM+QAM,103.7776768738336,172.37099021496743,35.66881921859476,0.35668819218594766,47730686749.905464,23865343374.952732
532.0,46.0,OOK,-120.0,1.4428232973175175e-12,6.616192867819329e-141,6.61619286781933e-143,8.853543127276094e-132,4.426771563638047e-132
532.0,46.0,M-PAM,-120.0,2.885646594635035e-12,6.616192867819329e-141,6.61619286781933e-143,8.853543127276094e-132,4.426771563638047e-132
532.0,46.0,PPM,-120.0,7.214116486587587e-13,6.616192867819329e-141,6.61619286781933e-143,8.853543127276094e-132,4.426771563638047e-132
532.0,46.0,OFDM+QAM,-120.0,7.214116486587588e-12,6.616192867819329e-141,6.61619286781933e-143,8.853543127276094e-132,4.426771563638047e-132
500.0,2.0,OOK,108.98420715897508,36.203769966060605,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692
500.0,2.0,M-PAM,108.98420715897508,72.40753993212121,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692
500.0,2.0,PPM,108.98420715897508,18.101884983030303,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692
500.0,2.0,OFDM+QAM,108.98420715897508,181.01884983030303,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692
532.0,8.0,OOK,101.49897162242155,33.717228543571885,21.106596491936305,0.21106596491936305,28244062113.165596,14122031056.582798
532.0,8.0,M-PAM,101.49897162242155,67.43445708714377,21.106596491936305,0.21106596491936305,28244062113.165596,14122031056.582798
532.0,8.0,PPM,101.49897162242155,16.858614271785942,21.106596491936305,0.21106596491936305,28244062113.165596,14122031056.582798
532.0,8.0,OFDM+QAM,101.49897162242155,168.58614271785942,21.106596491936305,0.21106596491936305,28244062113.165596,14122031056.582798
