lambda_nm,distance_m,mod_scheme,SNR_dB,rate_Mbps,unit_flux,P_RX_W,photons_per_bit,detected_electrons_per_bit,N_dark,N_th,N_rin,N_bg,BER
450.0,2.0,PPM,93.55209759929892,0.0,134.63248857950035,1.3463248857950034,152391135578.96957,76195567789.48479,113.19046181708421,2562416129272.9595,0.015239113557896958,3.1954559282899058,0.0
450.0,2.0,M-PAM,93.55209759929892,0.0,134.63248857950035,1.3463248857950034,152391135578.96957,76195567789.48479,113.19046181708421,2562416129272.9595,0.015239113557896958,3.1954559282899058,0.0
450.0,2.0,OFDM+QAM,93.55209759929892,0.0,134.63248857950035,1.3463248857950034,152391135578.96957,76195567789.48479,113.19046181708421,2562416129272.9595,0.015239113557896958,3.1954559282899058,0.0
450.0,2.0,OOK,93.55209759929892,0.0,134.63248857950035,1.3463248857950034,152391135578.96957,76195567789.48479,113.19046181708421,2562416129272.9595,0.015239113557896958,3.1954559282899058,0.0
500.0,2.0,PPM,92.96676791300459,0.0,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692,125.76717979676026,3163476702806.124,0.015828899130319384,3.1954559282899058,0.0
500.0,2.0,M-PAM,92.96676791300459,0.0,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692,125.76717979676026,3163476702806.124,0.015828899130319384,3.1954559282899058,0.0
500.0,2.0,OFDM+QAM,92.96676791300459,0.0,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692,125.76717979676026,3163476702806.124,0.015828899130319384,3.1954559282899058,0.0
500.0,2.0,OOK,92.96676791300459,0.0,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692,125.76717979676026,3163476702806.124,0.015828899130319384,3.1954559282899058,0.0
532.0,1.0,PPM,95.78846786863073,0.0,174.16800888002186,1.7416800888002186,233065149220.67523,116532574610.33762,133.8162793037529,3581359321340.0015,0.023306514922067523,3.1954559282899058,0.0
532.0,1.0,M-PAM,95.78846786863073,0.0,174.16800888002186,1.7416800888002186,233065149220.67523,116532574610.33762,133.8162793037529,3581359321340.0015,0.023306514922067523,3.1954559282899058,0.0
532.0,1.0,OFDM+QAM,95.78846786863073,0.0,174.16800888002186,1.7416800888002186,233065149220.67523,116532574610.33762,133.8162793037529,3581359321340.0015,0.023306514922067523,3.1954559282899058,0.0
532.0,1.0,OOK,95.78846786863073,0.0,174.16800888002186,1.7416800888002186,233065149220.67523,116532574610.33762,133.8162793037529,3581359321340.0015,0.023306514922067523,3.1954559282899058,0.0
532.0,10.0,PPM,73.15032106829663,0.0,12.854673398943891,0.12854673398943892,17201645659.115986,8600822829.557993,133.8162793037529,3581359321340.0015,0.0017201645659115986,3.1954559282899058,0.0
532.0,10.0,M-PAM,73.15032106829663,0.0,12.854673398943891,0.12854673398943892,17201645659.115986,8600822829.557993,133.8162793037529,3581359321340.0015,0.0017201645659115986,3.1954559282899058,0.0
