alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17,alpha_18,alpha_19,alpha_20,alpha_21,alpha_22,alpha_23,alpha_24,alpha_25,alpha_26,alpha_27,alpha_28,alpha_29,alpha_30,alpha_31,alpha_32,alpha_33,alpha_34,alpha_35,alpha_36,alpha_37,alpha_38,alpha_39,alpha_40,alpha_41,alpha_42,alpha_43,alpha_44,alpha_45,alpha_46,alpha_47,alpha_48,alpha_49,lambda_nm,distance_m,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24,flux_25,flux_26,flux_27,flux_28,flux_29,flux_30,flux_31,flux_32,flux_33,flux_34,flux_35,flux_36,flux_37,flux_38,flux_39,flux_40,flux_41,flux_42,flux_43,flux_44,flux_45,flux_46,flux_47,flux_48,flux_49
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,532,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.069760977865406e-290,2.4770269072454434e-262,2.559583650803194e-236,1.1019788464361554e-211,2.142182776002328e-188,2.0063645424123667e-166
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,532,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4295948314802936e-271,2.429349804912307e-206,2.5917422954648886e-156,3.630445245875972e-116,1.7754365206742e-83,6.554351693871409e-57,9.869509644033534e-36,1.1134137592191164e-19,3.3038459966263e-09,1.5737800014335515e-05,0.0010270347945916,0.0153039072127934,0.0428163742323935,0.0829577145545984,0.1378267129853534,0.2115728047007433,0.2974956563347142,0.3926605027392197,0.5044252964177446,0.6370843747418831,0.7819086492127877,0.9326215891563028,1.099642118372391,1.2912081369374282,1.4955469456814687,1.7035956189156307,1.9247741410822332,2.1739673558042596,2.4388859846336364,2.7045927942440877,2.979822856899445,3.285381242106219,3.6115616913397712,3.9353341782438815,4.265209098203195,4.626117079826422,5.012343070609596,5.396495381462117,5.780958795795762,6.195789742753917,6.641948356750973,7.087357289171511,7.527025106469921,7.994904585683821
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,532,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.352919038625052e-284,2.7876159551273318e-254,1.4792638330390179e-226,1.6432536107399073e-200,4.3693484079604965e-176,3.0980456470690073e-153,6.363428155319082e-132,4.0100980266987723e-112,7.992099820785486e-94,5.03641118134885e-77,9.66883944974368e-62,5.189665634454787e-48,6.661057450952711e-36,1.5575464190605289e-25
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,532,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.930212837450522e-262,6.860431201316019e-210,1.3820846331307452e-166,6.3788507401211295e-130,9.508970411450294e-99,2.4570052231779204e-72,3.1100037547059145e-50,3.2207721085798926e-32,2.4712386910440345e-18,3.290839423394105e-09,6.4219722805347394e-06,0.0003182292389046,0.0056512287957306,0.0204904249307986,0.0455011528975511,0.0809161656766078,0.1247557257764576,0.1750598832062027,0.2381269463202427,0.3130198744350591,0.3942924012257509,0.4812981376315627,0.5810323832115912,0.6950149363136846,0.8149319318210317,0.9381540421483542,1.0743712886484658,1.227336823107254,1.3864856431088528,1.5470453654401757,1.7186618001577856,1.9098506258134131,2.109142549106584,2.307005232521006,2.5139694436537976,2.742875781393498,2.9821474217451596,3.218410025308253,3.4606934405260983,3.7258572033678226,4.005900590979035
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,500,2.0,1.799953988846089e-40,1.2064631803186727e-06,0.0287941436579543,0.1618953089521357,0.404516888960171,0.7599919085442353,1.2236307477986998,1.8002310762108815,2.4874111996000576,3.283606042933842,4.190258927944241,5.208382098569884,6.337606398080319,7.577548293698712,8.927974695152393,10.38851796586725,11.959003411923955,13.639790990168551,15.431569655919091,17.33482218529993,19.349456892907384,21.474859384809175,23.710287793862953,26.055345317020972,28.51019431905016,31.075464991087745,33.75190514782548,36.53991759696219,39.439396858996815,42.449847435162766,45.57056667166578,48.80100167247272,52.14111188600999,55.5913278231622,59.15221696855692,62.82425234290661,66.60771178240115,70.50255274028972,74.50835240624566,78.62449121644939,82.85050291224489,87.18631895756769,91.6322453181608,96.1887453836402,100.85621087953125,105.6348399877036,110.5246260910439,115.5253997163268,120.63688063394548,125.8587427649955
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,532,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6054801685312217e-272,1.9187507300920296e-239,7.790237911828244e-209,1.5383355228303153e-180,1.9704477632335223e-154,2.052954492832807e-130,2.062270130277645e-108,2.241576349890168e-88,2.793062518204535e-70,3.9531558399772576e-54,5.768421659111079e-40,6.890548140188459e-28,4.16470516858523e-18,4.0111040209545946e-11,2.5517770283924977e-08,5.573052662109023e-07,9.937106903194957e-06,0.0001261600808034,0.0011053574623477,0.0044949956048309,0.0088831153393713,0.0150590424037802,0.0230502399860291,0.0330851721200153
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,532,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.321907069639824e-296,5.942887459027985e-264,4.7597612928217145e-234,4.163699668586338e-206,4.883326131187258e-180,9.068602896311236e-156,3.0385205446032717e-133,2.0218232720399735e-112,2.8382039571101507e-93,8.58946055848863e-76,5.469278894480783e-60,6.734847906891757e-46,1.3506837279873749e-33,3.203629225393421e-23,4.7608037700419466e-15,7.74592995599553e-10,1.3453923931663286e-07,7.718282888006464e-07,7.66539967010216e-06
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,532,2.0,1.782986717039013e-40,1.382330569553966e-06,0.0294532449257772,0.1526470517821774,0.3810212949479217,0.7335737830004941,1.1904481607138069,1.724366044742245,2.3673770400078236,3.1560605667816484,4.050180044746989,4.999164802550613,6.050280362828725,7.270294076763125,8.608141866470508,9.979145758407713,11.434147536333638,13.07711094748111,14.861208584539629,16.662628394678688,18.52030286768242,20.57774287075194,22.807973283700832,25.04863162450346,27.310675907785058,29.773768601991097,32.44687868051461,35.13528834091149,37.80647835701926,40.66732544171094,43.77718330588089,46.9204797198513,50.008189470519184,53.26058761039092,56.798649234899806,60.40189978301923,63.91571774524946,67.55588535482983,71.5117070198935,75.57722480970735,79.52812994958973,83.55522543433861,87.91737706678349,92.44439589626332,96.84412086004204,101.26068042663736,106.0174574165675,111.0016874861976,115.86160042801178,120.6734551238579
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,532,5.0,0.0,0.0,3.062280717331082e-96,7.912168919597254e-49,5.204972770384916e-21,1.1114336650824306e-06,0.003112601015164,0.0483612961587685,0.1493762773265103,0.2960549690270702,0.4833025714299314,0.7270655649730494,1.0356214153304075,1.3837075503027028,1.764742497310639,2.2044582695301487,2.717730706970326,3.273381445001481,3.848506152276832,4.480122771034115,5.197957506028032,5.9620284882582855,6.733739628211734,7.555161744727926,8.475041571729237,9.450688646393877,10.423007334150888,11.432248932324327,12.548306751000464,13.73545081416428,14.912938990165044,16.110319915497733,17.41887372088516,18.8173285187014,20.204567117731315,21.591480322300107,23.088028086759085,24.695621300889613,26.29676806145869,27.876014591521823,29.55673441615282,31.369964209771517,33.18839494332955,34.964080534190536,36.826028840698534,38.840126983532,40.87812496871643,42.855482933839006,44.89705532282779,47.10638755243134
-0.0441365342,-0.04545449305,-0.0466168634,-0.0464726205,-0.04509926115,-0.043952602800000004,-0.043131941949999995,-0.04335239155,-0.0443292096,-0.04472492035,-0.044359426349999995,-0.0441856823,-0.0439982776,-0.0440245296,-0.0438677178,-0.0442196267,-0.045709389749999996,-0.0471948948,-0.04753616715,-0.04663060645,-0.04555159155,-0.0439507441,-0.0433267092,-0.0428529636,-0.04283163975,-0.0419679875,-0.0409132349,-0.0405030478,-0.04003359435,-0.03985588305,-0.0400507701,-0.04108307305,-0.0408288117,-0.039965383,-0.038818768,-0.039310435049999995,-0.04023888765,-0.0413418076,-0.04265995475,-0.04263407915,-0.04122475585,-0.04084963105,-0.040792458,-0.0409369386,-0.0412855853,-0.04222440235,-0.04259778715,-0.041730931900000004,-0.0404016182,-0.03977108965,532,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259966278800823e-277,2.63264779768276e-237,2.8370780926642986e-201,7.967632642372433e-169,1.2655167314708093e-139,2.0277910072429377e-113,4.9913227802138025e-90,2.499311384485505e-69,2.9330042577536254e-51,7.883131603199636e-36,3.71351646622108e-23,1.41377318720246e-13,2.1733167742555937e-08,2.482663915436411e-06,4.226813507572312e-05,0.0007699068882589,0.0054978011175137,0.0130059939935053,0.0246244157191509,0.0404394339595034,0.059969884165559,0.0822423997220065,0.1079905950171184,0.1385816613925763,0.1736713592044269,0.2105009695001828,0.2499634572054296,0.2954671904552141,0.34587603099541,0.397550472733081,0.4512259282553628,0.5111149397961324,0.5768446600574366
