SNR_dB,BER
0.0,0.2783200271420232
0.1,0.2741848047907549
0.2,0.2700409407548712
0.30000000000000004,0.2658893285206061
0.4,0.26173088791418775
0.5,0.25756656513546883
0.6000000000000001,0.25339733275311754
0.7000000000000001,0.2492241896591267
0.8,0.2450481609803495
0.9,0.24087029794474096
1.0,0.23669167769994798
1.1,0.2325134030818669
1.2000000000000002,0.22833660233077072
1.3,0.2241624287525959
1.4000000000000001,0.21999206032297625
1.5,0.21582669923161904
1.6,0.21166757136463332
1.7000000000000002,0.20751592572244776
1.8,0.2033730337709964
1.9000000000000001,0.19924018872389765
2.0,0.19511870475341772
2.1,0.19100991612808968
2.2,0.1869151762749488
2.3000000000000003,0.18283585676445846
2.4000000000000004,0.1787733462163238
2.5,0.17472904912453266
2.6,0.17070438460013307
2.7,0.16670078503042704
2.8000000000000003,0.16271969465347288
2.9000000000000004,0.15876256804700403
3.0,0.1548308685311195
3.1,0.15092606648436727
3.2,0.14704963757313194
3.3000000000000003,0.1432030608945477
3.4000000000000004,0.13938781703349726
3.5,0.13560538603461528
3.6,0.13185724529059445
3.7,0.12814486734850888
3.8000000000000003,0.1244697176362855
3.9000000000000004,0.12083325211192023
4.0,0.11723691483850182
4.1000000000000005,0.11368213548860395
4.2,0.1101703267821249
4.3,0.10670288186218232
4.4,0.10328117161422556
4.5,0.09990654193409254
4.6000000000000005,0.09658031095131142
4.7,0.09330376621453951
4.800000000000001,0.0900781618466197
4.9,0.08690471567733397
5.0,0.08378460636252685
5.1000000000000005,0.08071897049886245
5.2,0.07770889974405842
5.300000000000001,0.07475543795300932
5.4,0.07185957834075421
5.5,0.06902226068377047
5.6000000000000005,0.06624436857156292
5.7,0.06352672672097337
5.800000000000001,0.060870098366046066
5.9,0.058275182736644754
6.0,0.05574261263932141
6.1000000000000005,0.05327295215417695
6.2,0.05086669446162238
6.300000000000001,0.04852425981304165
6.4,0.04624599365936429
6.5,0.0440321649514704
6.6000000000000005,0.041882964626169764
6.7,0.03979850429120946
6.800000000000001,0.03777881512236933
6.9,0.03582384698519345
7.0,0.03393346779327719
7.1000000000000005,0.03210746311427608
7.2,0.0303455360339274
7.300000000000001,0.028647307287368962
7.4,0.027012315665911453
7.5,0.025440018706160944
7.6000000000000005,0.023929793667010046
7.7,0.022480938798513917
7.800000000000001,0.02109267490505441
7.9,0.01976414720347285
8.0,0.018494427475034856
8.1,0.01728251650818297
8.200000000000001,0.016127346827053923
8.3,0.015027785698698112
8.4,0.01398263840985537
8.5,0.012990651802034833
8.6,0.012050518051533066
8.700000000000001,0.011160878678928876
8.8,0.010320328770535162
8.9,0.009527421392292878
9.0,0.008780672174684444
9.1,0.008078564045448244
9.200000000000001,0.007419552085217124
9.3,0.006802068479710037
9.4,0.006224527540797591
9.5,0.005685330767667825
9.600000000000001,0.0051828719184563304
9.700000000000001,0.004715542062098687
9.8,0.004281734579829008
9.9,0.0038798500857038015
10.0,0.0035083012357854495
10.100000000000001,0.003165517396185361
10.200000000000001,0.0028499491410461327
10.3,0.0025600725527361455
