SNR_dB,BER
0.0,0.15865525393145707
0.1,0.15586958680536844
0.2,0.15308466804550175
0.30000000000000004,0.15030126138534888
0.4,0.14752014709060662
0.5,0.1447421216678878
0.6000000000000001,0.1419679975325575
0.7000000000000001,0.13919860263411377
0.8,0.13643478003755505
0.9,0.13367738745920732
1.0,0.1309272967555245
1.1,0.12818539336342466
1.2000000000000002,0.12545257569078355
1.3,0.12272975445577655
1.4000000000000001,0.12001785197384068
1.5,0.11731780139111986
1.6,0.11463054586336163
1.7000000000000002,0.11195703767935072
1.8,0.1092982373280939
1.9000000000000001,0.10665511250911675
2.0,0.10402863708538868
2.1,0.10141978997856882
2.2,0.09882955400645088
2.3000000000000003,0.09625891466269032
2.4000000000000004,0.09370885883911417
2.5,0.09118037349115199
2.6,0.08867444424717308
2.7,0.08619205396278479
2.8000000000000003,0.08373418122142662
2.9000000000000004,0.08130179878289229
3.0,0.07889587198172443
3.1,0.07651735707775255
3.2,0.0741671995613843
3.3000000000000003,0.07184633241661258
3.4000000000000004,0.06955567434506449
3.5,0.06729612795479281
3.6,0.06506857791789107
3.7,0.06287388910140534
3.8000000000000003,0.06071290467640729
3.9000000000000004,0.058586444210492306
4.0,0.05649530174936167
4.1000000000000005,0.054440243893543884
4.2,0.05242200787669897
4.3,0.05044129965233104
4.4,0.04849879199610208
4.5,0.046595122631295616
4.6000000000000005,0.04473089238531136
4.7,0.042906663385382945
4.800000000000001,0.04112295730199522
4.9,0.03938025364872731
5.0,0.03767898814746339
5.1000000000000005,0.0360195511680865
5.2,0.034402286251898596
5.300000000000001,0.032827488728087544
5.4,0.03129540443258482
5.5,0.029806228538619826
5.6000000000000005,0.028360104508176654
5.7,0.026957123173389556
5.800000000000001,0.025597321956672792
5.9,0.02428068423806413
6.0,0.023007138877866016
6.1000000000000005,0.021776559902193265
6.2,0.020588766358476594
6.300000000000001,0.01944352234732819
6.4,0.018340537236448563
6.5,0.01727946606144048
6.6000000000000005,0.016259910117501677
6.7,0.015281417744991558
6.800000000000001,0.014343485310814278
6.9,0.013445558386433836
7.0,0.012587033122144622
7.1000000000000005,0.011767257815966187
7.2,0.010985534674226315
7.300000000000001,0.010241121759547136
7.4,0.009533235120569495
7.5,0.008861051096347865
7.6000000000000005,0.008223708786941333
7.7,0.007620312680321712
7.800000000000001,0.007049935424339753
7.9,0.006511620731145051
8.0,0.006004386400163562
8.1,0.005527227444514657
8.200000000000001,0.005079119304614106
8.3,0.0046590211316772994
8.4,0.004265879122925198
8.5,0.0038986298895199198
8.6,0.0035562038376329387
8.700000000000001,0.00323752854259039
8.8,0.0029415320957601973
8.9,0.002667146403755149
9.0,0.0024133104196338647
9.1,0.002178973286094198
9.200000000000001,0.0019630973711749406
9.3,0.0017646611777133966
9.4,0.0015826621087456378
9.5,0.0014161190721791279
9.600000000000001,0.00126407490940443
9.700000000000001,0.001125598634033233
9.8,0.000999787468638133
9.9,0.0008857686692082194
10.0,0.000782701129001274
10.100000000000001,0.0006897767555455614
10.200000000000001,0.0006062216166942121
10.3,0.0005312968538353916
10.4,0.00046429936258127224
10.5,0.0004045622434670233
10.600000000000001,0.0003514550273562657
10.700000000000001,0.0003043836823394684
10.8,0.00026279041089618643
10.9,0.00022615324794085788
11.0,0.00019398547205786072
11.100000000000001,0.00016583484372954458
11.200000000000001,0.00014128268564941754
11.3,0.00011994282127361294
11.4,0.00010146038858341183
11.5,8.551054660076847e-05
11.600000000000001,7.179709251305695e-05
11.700000000000001,6.0051007323160665e-05
11.8,5.0028947751999266e-05
11.9,4.151170169297667e-05
12.0,3.43026238664154e-05
12.100000000000001,2.822606746596029e-05
12.200000000000001,2.312582655090949e-05
12.3,1.8863602744396145e-05
12.4,1.5317508475643463e-05
12.5,1.238061758520455e-05
12.600000000000001,9.959572626172217e-06
12.700000000000001,7.97325667291796e-06
12.8,6.351535922438318e-06
12.9,5.034077870894791e-06
13.0,3.969248396342829e-06
13.100000000000001,3.1130897021633355e-06
13.200000000000001,2.4283797952903074e-06
13.3,1.883773006311443e-06
13.4,1.4530200183444577e-06
13.5,1.1142649676815663e-06
13.600000000000001,8.494164169471745e-07
13.700000000000001,6.435883824371367e-07
13.8,4.846071192705469e-07
13.9,3.625790255621344e-07
14.0,2.6951481173667145e-07
14.100000000000001,1.990049827194171e-07
14.200000000000001,1.4594168659286602e-07
14.3,1.0628207968859875e-07
14.4,7.68485305461992e-08
14.5,5.516121908390362e-08
14.600000000000001,3.929896833253363e-08
14.700000000000001,2.7784460522139584e-08
14.8,1.9490324553129745e-08
14.9,1.356292660454003e-08
15.0,9.361039990685109e-09
15.100000000000001,6.406906123079505e-09
15.200000000000001,4.347518937699357e-09
15.3,2.9242653652860682e-09
15.4,1.949330807387612e-09
15.5,1.2875289477643393e-09
15.600000000000001,8.424385881089012e-10
15.700000000000001,5.459265698585576e-10
15.8,3.503060689192384e-10
15.9,2.2252509273292133e-10
16.0,1.399027809397688e-10
16.1,8.703330643224191e-11
16.2,5.356112832901581e-11
16.3,3.259942071542086e-11
16.400000000000002,1.9617978994462383e-11
16.5,1.1669937903637126e-11
16.6,6.860183576184884e-12
16.7,3.984154108837094e-12
16.8,2.2853210209026747e-12
16.900000000000002,1.2943258740860473e-12
17.0,7.235975708536571e-13
17.1,3.99186955244452e-13
17.2,2.172436138641063e-13
17.3,1.1659278221305422e-13
17.400000000000002,6.168926692304638e-14
17.5,3.216746943617327e-14
17.6,1.6525180826663363e-14
17.7,8.360780803958515e-15
17.8,4.1645155915982465e-15
