time,z_mid,alpha_m-1
0.7,9.037539,-4.137992e-03
0.7,9.512544,-1.451706e-03
0.8,0.487456,-8.511803e-02
0.8,0.962461,-1.397232e-01
0.8,1.437465,-8.748145e-02
0.8,1.912470,-7.874636e-02
0.8,2.387475,-5.284589e-02
0.8,2.862479,-4.172694e-02
0.8,3.337484,-3.807184e-02
0.8,3.812489,-3.444444e-02
0.8,4.287493,-2.785710e-02
0.8,4.762498,-2.282617e-02
0.8,5.237502,-2.335059e-02
0.8,5.712507,-2.024692e-02
0.8,6.187512,-1.838662e-02
0.8,6.662516,-1.577936e-02
0.8,7.137521,-1.321710e-02
0.8,7.612525,-1.228999e-02
0.8,8.087530,-9.453265e-03
0.8,8.562535,-6.831287e-03
0.8,9.037539,-5.811628e-03
0.8,9.512544,-2.634885e-03
0.9,0.487456,-9.480537e-02
0.9,0.962461,-1.519218e-01
0.9,1.437465,-9.582043e-02
0.9,1.912470,-8.622819e-02
0.9,2.387475,-6.085647e-02
0.9,2.862479,-4.818068e-02
0.9,3.337484,-4.313517e-02
0.9,3.812489,-3.867607e-02
0.9,4.287493,-3.250667e-02
0.9,4.762498,-2.631749e-02
0.9,5.237502,-2.609231e-02
0.9,5.712507,-2.323190e-02
0.9,6.187512,-2.064057e-02
0.9,6.662516,-1.850064e-02
0.9,7.137521,-1.582372e-02
0.9,7.612525,-1.540201e-02
0.9,8.087530,-1.243552e-02
0.9,8.562535,-8.884176e-03
0.9,9.037539,-6.863975e-03
0.9,9.512544,-3.077973e-03
1,0.487456,-1.078947e-01
1,0.962461,-1.609745e-01
1,1.437465,-1.054025e-01
1,1.912470,-9.452800e-02
1,2.387475,-6.958184e-02
1,2.862479,-5.493710e-02
1,3.337484,-4.928702e-02
1,3.812489,-4.412078e-02
1,4.287493,-3.821034e-02
1,4.762498,-3.119911e-02
1,5.237502,-3.179710e-02
1,5.712507,-2.893191e-02
1,6.187512,-2.550823e-02
1,6.662516,-2.297512e-02
1,7.137521,-1.911241e-02
1,7.612525,-1.879159e-02
1,8.087530,-1.522040e-02
1,8.562535,-1.134871e-02
1,9.037539,-8.411445e-03
1,9.512544,-3.973116e-03
1.1,0.487456,-1.179240e-01
1.1,0.962461,-1.668862e-01
1.1,1.437465,-1.105537e-01
1.1,1.912470,-9.982561e-02
1.1,2.387475,-7.719490e-02
1.1,2.862479,-6.245709e-02
1.1,3.337484,-5.653369e-02
1.1,3.812489,-5.090612e-02
1.1,4.287493,-4.482138e-02
1.1,4.762498,-3.681484e-02
1.1,5.237502,-3.905204e-02
1.1,5.712507,-3.584695e-02
1.1,6.187512,-3.274088e-02
1.1,6.662516,-2.907893e-02
1.1,7.137521,-2.290322e-02
1.1,7.612525,-2.244758e-02
1.1,8.087530,-1.772653e-02
1.1,8.562535,-1.336780e-02
1.1,9.037539,-9.667745e-03
1.1,9.512544,-4.518834e-03
1.2,0.487456,-1.164515e-01
1.2,0.962461,-1.634994e-01
1.2,1.437465,-1.038815e-01
1.2,1.912470,-9.344939e-02
1.2,2.387475,-7.804534e-02
1.2,2.862479,-6.729570e-02
1.2,3.337484,-6.189217e-02
1.2,3.812489,-5.768720e-02
1.2,4.287493,-5.163997e-02
1.2,4.762498,-4.311931e-02
1.2,5.237502,-4.694932e-02
1.2,5.712507,-4.317664e-02
1.2,6.187512,-4.076750e-02
1.2,6.662516,-3.604241e-02
1.2,7.137521,-2.767704e-02
1.2,7.612525,-2.741438e-02
1.2,8.087530,-2.178771e-02
1.2,8.562535,-1.633560e-02
1.2,9.037539,-1.125651e-02
1.2,9.512544,-5.582215e-03
1.3,0.487456,-1.081660e-01
1.3,0.962461,-1.548695e-01
1.3,1.437465,-9.256614e-02
1.3,1.912470,-8.186294e-02
1.3,2.387475,-6.908266e-02
1.3,2.862479,-6.581708e-02
1.3,3.337484,-5.869198e-02
1.3,3.812489,-5.585427e-02
1.3,4.287493,-5.181748e-02
1.3,4.762498,-4.543181e-02
1.3,5.237502,-4.903748e-02
1.3,5.712507,-4.632179e-02
1.3,6.187512,-4.511132e-02
1.3,6.662516,-4.112590e-02
1.3,7.137521,-3.232360e-02
1.3,7.612525,-3.300985e-02
1.3,8.087530,-2.722249e-02
1.3,8.562535,-2.001532e-02
1.3,9.037539,-1.304940e-02
1.3,9.512544,-6.481303e-03
1.4,0.487456,-1.031462e-01
1.4,0.962461,-1.509308e-01
1.4,1.437465,-8.652224e-02
1.4,1.912470,-7.478487e-02
1.4,2.387475,-5.894870e-02
1.4,2.862479,-6.270799e-02
1.4,3.337484,-5.145810e-02
1.4,3.812489,-4.907038e-02
1.4,4.287493,-4.642413e-02
1.4,4.762498,-4.428861e-02
1.4,5.237502,-4.493179e-02
1.4,5.712507,-4.411605e-02
1.4,6.187512,-4.425625e-02
1.4,6.662516,-4.197093e-02
1.4,7.137521,-3.475701e-02
1.4,7.612525,-3.592003e-02
1.4,8.087530,-3.079959e-02
1.4,8.562535,-2.292180e-02
1.4,9.037539,-1.473180e-02
1.4,9.512544,-7.236719e-03
1.5,0.487456,-1.021281e-01
1.5,0.962461,-1.545379e-01
1.5,1.437465,-8.654847e-02
1.5,1.912470,-7.370120e-02
1.5,2.387475,-5.376747e-02
1.5,2.862479,-6.131571e-02
1.5,3.337484,-4.690250e-02
1.5,3.812489,-4.424537e-02
1.5,4.287493,-4.252489e-02
1.5,4.762498,-4.332442e-02
1.5,5.237502,-4.147215e-02
1.5,5.712507,-4.184856e-02
1.5,6.187512,-4.254227e-02
1.5,6.662516,-4.143602e-02
1.5,7.137521,-3.599161e-02
