lambda_nm,distance_m,mod_scheme,SNR_dB,rate_Mbps,unit_flux,P_RX_W,photons_per_bit,detected_electrons_per_bit,N_dark,N_th,N_rin,N_bg,BER
450.0,2.0,PPM,93.55209759929892,124.30933654284925,134.63248857950035,1.3463248857950034,152391135578.96957,76195567789.48479,113.19046181708421,2562416129272.9595,0.015239113557896958,3.1954559282899058,0.0
450.0,2.0,M-PAM,93.55209759929892,0.0,134.63248857950035,1.3463248857950034,152391135578.96957,76195567789.48479,113.19046181708421,2562416129272.9595,0.015239113557896958,3.1954559282899058,0.0
450.0,2.0,OFDM+QAM,93.55209759929892,1243.0933654284925,134.63248857950035,1.3463248857950034,152391135578.96957,76195567789.48479,113.19046181708421,2562416129272.9595,0.015239113557896958,3.1954559282899058,0.0
450.0,2.0,OOK,93.55209759929892,248.6186730856985,134.63248857950035,1.3463248857950034,152391135578.96957,76195567789.48479,113.19046181708421,2562416129272.9595,0.015239113557896958,3.1954559282899058,0.0
500.0,2.0,PPM,92.96676791300459,123.53156729134764,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692,125.76717979676026,3163476702806.124,0.015828899130319384,3.1954559282899058,0.0
500.0,2.0,M-PAM,92.96676791300459,0.0,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692,125.76717979676026,3163476702806.124,0.015828899130319384,3.1954559282899058,0.0
500.0,2.0,OFDM+QAM,92.96676791300459,1235.3156729134762,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692,125.76717979676026,3163476702806.124,0.015828899130319384,3.1954559282899058,0.0
500.0,2.0,OOK,92.96676791300459,247.06313458269528,125.8587427649955,1.258587427649955,158288991303.19385,79144495651.59692,125.76717979676026,3163476702806.124,0.015828899130319384,3.1954559282899058,0.0
532.0,1.0,PPM,95.78846786863073,127.28096103312984,174.16800888002186,1.7416800888002186,233065149220.67523,116532574610.33762,133.8162793037529,3581359321340.0015,0.023306514922067523,3.1954559282899058,0.0
532.0,1.0,M-PAM,95.78846786863073,0.0,174.16800888002186,1.7416800888002186,233065149220.67523,116532574610.33762,133.8162793037529,3581359321340.0015,0.023306514922067523,3.1954559282899058,0.0
532.0,1.0,OFDM+QAM,95.78846786863073,1272.8096103312982,174.16800888002186,1.7416800888002186,233065149220.67523,116532574610.33762,133.8162793037529,3581359321340.0015,0.023306514922067523,3.1954559282899058,0.0
532.0,1.0,OOK,95.78846786863073,254.56192206625968,174.16800888002186,1.7416800888002186,233065149220.67523,116532574610.33762,133.8162793037529,3581359321340.0015,0.023306514922067523,3.1954559282899058,0.0
532.0,10.0,PPM,73.15032106829663,97.20004296210678,12.854673398943891,0.12854673398943892,17201645659.115986,8600822829.557993,133.8162793037529,3581359321340.0015,0.0017201645659115986,3.1954559282899058,0.0
532.0,10.0,M-PAM,73.15032106829663,0.0,12.854673398943891,0.12854673398943892,17201645659.115986,8600822829.557993,133.8162793037529,3581359321340.0015,0.0017201645659115986,3.1954559282899058,0.0
532.0,10.0,OFDM+QAM,73.15032106829663,972.0004296210677,12.854673398943891,0.12854673398943892,17201645659.115986,8600822829.557993,133.8162793037529,3581359321340.0015,0.0017201645659115986,3.1954559282899058,0.0
532.0,10.0,OOK,73.15032106829663,194.40008592421356,12.854673398943891,0.12854673398943892,17201645659.115986,8600822829.557993,133.8162793037529,3581359321340.0015,0.0017201645659115986,3.1954559282899058,0.0
532.0,11.0,PPM,71.06831701208252,94.43353602675441,10.11488254597982,0.1011488254597982,13535359478.974909,6767679739.487454,133.8162793037529,3581359321340.0015,0.0013535359478974909,3.1954559282899058,0.0
532.0,11.0,M-PAM,71.06831701208252,0.0,10.11488254597982,0.1011488254597982,13535359478.974909,6767679739.487454,133.8162793037529,3581359321340.0015,0.0013535359478974909,3.1954559282899058,0.0
532.0,11.0,OFDM+QAM,71.06831701208252,944.3353602675439,10.11488254597982,0.1011488254597982,13535359478.974909,6767679739.487454,133.8162793037529,3581359321340.0015,0.0013535359478974909,3.1954559282899058,0.0
532.0,11.0,OOK,71.06831701208252,188.86707205350882,10.11488254597982,0.1011488254597982,13535359478.974909,6767679739.487454,133.8162793037529,3581359321340.0015,0.0013535359478974909,3.1954559282899058,0.0
532.0,12.0,PPM,69.02536583137618,91.71892152831794,7.994904585683821,0.07994904585683821,10698483850.44721,5349241925.223605,133.8162793037529,3581359321340.0015,0.0010698483850447211,3.1954559282899058,0.0
532.0,12.0,M-PAM,69.02536583137618,0.0,7.994904585683821,0.07994904585683821,10698483850.44721,5349241925.223605,133.8162793037529,3581359321340.0015,0.0010698483850447211,3.1954559282899058,0.0
532.0,12.0,OFDM+QAM,69.02536583137618,917.1892152831794,7.994904585683821,0.07994904585683821,10698483850.44721,5349241925.223605,133.8162793037529,3581359321340.0015,0.0010698483850447211,3.1954559282899058,0.0
532.0,12.0,OOK,69.02536583137618,183.43784305663587,7.994904585683821,0.07994904585683821,10698483850.44721,5349241925.223605,133.8162793037529,3581359321340.0015,0.0010698483850447211,3.1954559282899058,0.0
532.0,13.0,PPM,67.01175468679676,89.04329338101768,6.340634623202214,0.06340634623202214,8484801337.014736,4242400668.507368,133.8162793037529,3581359321340.0015,0.0008484801337014736,3.1954559282899058,0.0
532.0,13.0,M-PAM,67.01175468679676,0.0,6.340634623202214,0.06340634623202214,8484801337.014736,4242400668.507368,133.8162793037529,3581359321340.0015,0.0008484801337014736,3.1954559282899058,0.0
532.0,13.0,OFDM+QAM,67.01175468679676,890.4329338101769,6.340634623202214,0.06340634623202214,8484801337.014736,4242400668.507368,133.8162793037529,3581359321340.0015,0.0008484801337014736,3.1954559282899058,0.0
532.0,13.0,OOK,67.01175468679676,178.08658676203535,6.340634623202214,0.06340634623202214,8484801337.014736,4242400668.507368,133.8162793037529,3581359321340.0015,0.0008484801337014736,3.1954559282899058,0.0
532.0,14.0,PPM,65.01593214166564,86.39130245687406,5.038968002471932,0.050389680024719316,6742959496.214579,3371479748.1072893,133.8162793037529,3581359321340.0015,0.0006742959496214579,3.1954559282899058,0.0
532.0,14.0,M-PAM,65.01593214166564,0.0,5.038968002471932,0.050389680024719316,6742959496.214579,3371479748.1072893,133.8162793037529,3581359321340.0015,0.0006742959496214579,3.1954559282899058,0.0
532.0,14.0,OFDM+QAM,65.01593214166564,863.9130245687408,5.038968002471932,0.050389680024719316,6742959496.214579,3371479748.1072893,133.8162793037529,3581359321340.0015,0.0006742959496214579,3.1954559282899058,0.0
532.0,14.0,OOK,65.01593214166564,172.78260491374812,5.038968002471932,0.050389680024719316,6742959496.214579,3371479748.1072893,133.8162793037529,3581359321340.0015,0.0006742959496214579,3.1954559282899058,0.0
532.0,15.0,PPM,63.02310348575587,83.74329011542584,4.005900590979035,0.04005900590979035,5360547123.4551935,2680273561.7275968,133.8162793037529,3581359321340.0015,0.0005360547123455194,3.1954559282899058,0.0
532.0,15.0,M-PAM,63.02310348575587,0.0,4.005900590979035,0.04005900590979035,5360547123.4551935,2680273561.7275968,133.8162793037529,3581359321340.0015,0.0005360547123455194,3.1954559282899058,0.0
532.0,15.0,OFDM+QAM,63.02310348575587,837.4329011542585,4.005900590979035,0.04005900590979035,5360547123.4551935,2680273561.7275968,133.8162793037529,3581359321340.0015,0.0005360547123455194,3.1954559282899058,0.0
532.0,15.0,OOK,63.02310348575587,167.48658023085167,4.005900590979035,0.04005900590979035,5360547123.4551935,2680273561.7275968,133.8162793037529,3581359321340.0015,0.0005360547123455194,3.1954559282899058,0.0
532.0,16.0,PPM,61.01970360345113,81.08123165994373,3.180754671403384,0.03180754671403384,4256367555.05232,2128183777.52616,133.8162793037529,3581359321340.0015,0.000425636755505232,3.1954559282899058,0.0
532.0,16.0,M-PAM,61.01970360345113,0.0,3.180754671403384,0.03180754671403384,4256367555.05232,2128183777.52616,133.8162793037529,3581359321340.0015,0.000425636755505232,3.1954559282899058,0.0
532.0,16.0,OFDM+QAM,61.01970360345113,810.8123165994374,3.180754671403384,0.03180754671403384,4256367555.05232,2128183777.52616,133.8162793037529,3581359321340.0015,0.000425636755505232,3.1954559282899058,0.0
532.0,16.0,OOK,61.01970360345113,162.16246331988745,3.180754671403384,0.03180754671403384,4256367555.05232,2128183777.52616,133.8162793037529,3581359321340.0015,0.000425636755505232,3.1954559282899058,0.0
532.0,17.0,PPM,58.996213608485306,78.39247906251532,2.5197396728852417,0.025197396728852416,3371821878.3955846,1685910939.1977923,133.8162793037529,3581359321340.0015,0.00033718218783955847,3.1954559282899058,0.0
532.0,17.0,M-PAM,58.996213608485306,0.0,2.5197396728852417,0.025197396728852416,3371821878.3955846,1685910939.1977923,133.8162793037529,3581359321340.0015,0.00033718218783955847,3.1954559282899058,0.0
