SNR_dB,PER
0.0,1.0
0.1,1.0
0.2,1.0
0.3,1.0
0.4,1.0
0.5,1.0
0.6000000000000001,1.0
0.7000000000000001,1.0
0.8,1.0
0.9,1.0
1.0,1.0
1.1,1.0
1.2000000000000002,1.0
1.3,1.0
1.4,1.0
1.5,1.0
1.6,1.0
1.7000000000000002,1.0
1.8,1.0
1.9,1.0
2.0,1.0
2.1,1.0
2.2,1.0
2.3000000000000003,1.0
2.4000000000000004,1.0
2.5,1.0
2.6,1.0
2.7,1.0
2.8000000000000003,1.0
2.9000000000000004,1.0
3.0,1.0
3.1,1.0
3.2,1.0
3.3000000000000003,1.0
3.4000000000000004,1.0
3.5,1.0
3.6,1.0
3.7,1.0
3.8,1.0
3.9,1.0
4.0,1.0
4.1000000000000005,1.0
4.2,1.0
4.3,1.0
4.4,1.0
4.5,1.0
4.6000000000000005,1.0
4.7,1.0
4.800000000000001,1.0
4.9,1.0
5.0,1.0
5.1000000000000005,1.0
5.2,1.0
5.300000000000001,1.0
5.4,1.0
5.5,0.9999999999999999
5.6000000000000005,0.9999999999999994
5.7,0.9999999999999974
5.800000000000001,0.9999999999999891
5.9,0.9999999999999554
6.0,0.9999999999998237
6.1000000000000005,0.9999999999993284
6.2,0.9999999999975366
6.300000000000001,0.9999999999912977
6.4,0.999999999970391
6.5,0.9999999999029581
6.6000000000000005,0.9999999996935894
6.7,0.9999999990677388
6.800000000000001,0.9999999972662665
6.9,0.9999999922719564
7.0,0.9999999789329892
7.1000000000000005,0.9999999446017207
7.2,0.9999998594261348
7.300000000000001,0.9999996556519741
7.4,0.9999991853712897
7.5,0.9999981379566115
7.6,0.9999958856527696
7.7,0.9999912073422342
7.800000000000001,0.9999818160554987
7.9,0.9999635868257507
8.0,0.9999293522936
8.1,0.9998671120778242
8.200000000000001,0.9997575001824254
8.3,0.9995703869697099
8.4,0.9992605722728475
8.5,0.998762662460532
8.6,0.9979854141866363
8.700000000000001,0.9968060530950142
8.8,0.995065301709976
8.9,0.9925640280538949
9.0,0.9890625009241952
9.1,0.9842831626644999
