lambda_nm,distance_m,mod_scheme,SNR_dB,rate_Mbps,unit_flux,P_RX_W,photons_per_bit,detected_electrons_per_bit,N_dark,N_th,N_rin,N_bg,BER
450.0,2.0,PPM,91.7911850087394,121.96948654123452,134.63248857950035,1.3463248857950034,101594090385.97974,50797045192.98987,75.46030787805614,1708277419515.3064,0.010159409038597973,3.1954559282899058,0.0
450.0,2.0,M-PAM,91.7911850087394,0.0,134.63248857950035,1.3463248857950034,101594090385.97974,50797045192.98987,75.46030787805614,1708277419515.3064,0.010159409038597973,3.1954559282899058,0.0
450.0,2.0,OFDM+QAM,91.7911850087394,1219.6948654123453,134.63248857950035,1.3463248857950034,101594090385.97974,50797045192.98987,75.46030787805614,1708277419515.3064,0.010159409038597973,3.1954559282899058,0.0
450.0,2.0,OOK,91.7911850087394,243.93897308246903,134.63248857950035,1.3463248857950034,101594090385.97974,50797045192.98987,75.46030787805614,1708277419515.3064,0.010159409038597973,3.1954559282899058,0.0
500.0,2.0,PPM,91.2058553224456,121.19171728991732,125.8587427649955,1.258587427649955,105525994202.12926,52762997101.06463,83.84478653117351,2108984468537.416,0.010552599420212926,3.1954559282899058,0.0
500.0,2.0,M-PAM,91.2058553224456,0.0,125.8587427649955,1.258587427649955,105525994202.12926,52762997101.06463,83.84478653117351,2108984468537.416,0.010552599420212926,3.1954559282899058,0.0
500.0,2.0,OFDM+QAM,91.2058553224456,1211.9171728991732,125.8587427649955,1.258587427649955,105525994202.12926,52762997101.06463,83.84478653117351,2108984468537.416,0.010552599420212926,3.1954559282899058,0.0
500.0,2.0,OOK,91.2058553224456,242.38343457983464,125.8587427649955,1.258587427649955,105525994202.12926,52762997101.06463,83.84478653117351,2108984468537.416,0.010552599420212926,3.1954559282899058,0.0
532.0,1.0,PPM,94.02755527807199,124.94111103100359,174.16800888002186,1.7416800888002186,155376766147.11682,77688383073.55841,89.2108528691686,2387572880893.3345,0.015537676614711683,3.1954559282899058,0.0
532.0,1.0,M-PAM,94.02755527807199,0.0,174.16800888002186,1.7416800888002186,155376766147.11682,77688383073.55841,89.2108528691686,2387572880893.3345,0.015537676614711683,3.1954559282899058,0.0
532.0,1.0,OFDM+QAM,94.02755527807199,1249.4111103100358,174.16800888002186,1.7416800888002186,155376766147.11682,77688383073.55841,89.2108528691686,2387572880893.3345,0.015537676614711683,3.1954559282899058,0.0
532.0,1.0,OOK,94.02755527807199,249.88222206200717,174.16800888002186,1.7416800888002186,155376766147.11682,77688383073.55841,89.2108528691686,2387572880893.3345,0.015537676614711683,3.1954559282899058,0.0
532.0,10.0,PPM,71.38940847773787,94.86019309891184,12.854673398943891,0.12854673398943892,11467763772.743992,5733881886.371996,89.2108528691686,2387572880893.3345,0.0011467763772743992,3.1954559282899058,0.0
532.0,10.0,M-PAM,71.38940847773787,0.0,12.854673398943891,0.12854673398943892,11467763772.743992,5733881886.371996,89.2108528691686,2387572880893.3345,0.0011467763772743992,3.1954559282899058,0.0
532.0,10.0,OFDM+QAM,71.38940847773787,948.6019309891185,12.854673398943891,0.12854673398943892,11467763772.743992,5733881886.371996,89.2108528691686,2387572880893.3345,0.0011467763772743992,3.1954559282899058,0.0
532.0,10.0,OOK,71.38940847773787,189.72038619782367,12.854673398943891,0.12854673398943892,11467763772.743992,5733881886.371996,89.2108528691686,2387572880893.3345,0.0011467763772743992,3.1954559282899058,0.0
532.0,11.0,PPM,69.30740442152377,92.0936862494847,10.11488254597982,0.1011488254597982,9023572985.983273,4511786492.991636,89.2108528691686,2387572880893.3345,0.0009023572985983273,3.1954559282899058,0.0
532.0,11.0,M-PAM,69.30740442152377,0.0,10.11488254597982,0.1011488254597982,9023572985.983273,4511786492.991636,89.2108528691686,2387572880893.3345,0.0009023572985983273,3.1954559282899058,0.0
532.0,11.0,OFDM+QAM,69.30740442152377,920.936862494847,10.11488254597982,0.1011488254597982,9023572985.983273,4511786492.991636,89.2108528691686,2387572880893.3345,0.0009023572985983273,3.1954559282899058,0.0
532.0,11.0,OOK,69.30740442152377,184.1873724989694,10.11488254597982,0.1011488254597982,9023572985.983273,4511786492.991636,89.2108528691686,2387572880893.3345,0.0009023572985983273,3.1954559282899058,0.0
532.0,12.0,PPM,67.26445324081743,89.37907188656432,7.994904585683821,0.07994904585683821,7132322566.9648075,3566161283.4824038,89.2108528691686,2387572880893.3345,0.0007132322566964808,3.1954559282899058,0.0
532.0,12.0,M-PAM,67.26445324081743,0.0,7.994904585683821,0.07994904585683821,7132322566.9648075,3566161283.4824038,89.2108528691686,2387572880893.3345,0.0007132322566964808,3.1954559282899058,0.0
532.0,12.0,OFDM+QAM,67.26445324081743,893.7907188656432,7.994904585683821,0.07994904585683821,7132322566.9648075,3566161283.4824038,89.2108528691686,2387572880893.3345,0.0007132322566964808,3.1954559282899058,0.0
532.0,12.0,OOK,67.26445324081743,178.75814377312864,7.994904585683821,0.07994904585683821,7132322566.9648075,3566161283.4824038,89.2108528691686,2387572880893.3345,0.0007132322566964808,3.1954559282899058,0.0
532.0,13.0,PPM,65.250842096238,86.70344395228523,6.340634623202214,0.06340634623202214,5656534224.67649,2828267112.338245,89.2108528691686,2387572880893.3345,0.000565653422467649,3.1954559282899058,0.0
532.0,13.0,M-PAM,65.250842096238,0.0,6.340634623202214,0.06340634623202214,5656534224.67649,2828267112.338245,89.2108528691686,2387572880893.3345,0.000565653422467649,3.1954559282899058,0.0
